loan_amnt,emp_length,addr_state,dti
16000,10+ years,MA,25.61
8000,9 years,NJ,31.58
26000,7 years,DE,12.19
12000,3 years,CA,20.81
15000,1 year,TN,29.92
6000,2 years,TX,30.71
3000,5 years,TX,22.17
14000,< 1 year,MN,23.6
4325,4 years,CA,14.86
7200,10+ years,FL,17.26
20000,3 years,MA,18.83
7000,10+ years,CT,22.34
3000,1 year,AZ,3.85
5000,< 1 year,NC,13.55
18000,4 years,PA,14.95
15425,6 years,TX,14.14
25000,3 years,NY,14.77
5000,n/a,NE,6
7500,5 years,MO,10.6
10000,2 years,CA,27.5
20000,10+ years,CA,22.55
24000,< 1 year,MI,11.91
15000,10+ years,UT,25.14
15000,4 years,NJ,21.32
10000,4 years,CA,7.37
3350,10+ years,TX,32.59
16800,6 years,MN,18.08
9000,10+ years,MA,16.03
9800,10+ years,MA,0.48
37200,n/a,OH,9.17
10000,3 years,TX,20.11
12000,10+ years,WA,26.69
1000,4 years,MI,6.68
12000,3 years,NJ,4.32
8000,10+ years,IL,18.76
8000,2 years,TX,26.55
10000,n/a,FL,25.58
10000,6 years,NC,20.51
12000,2 years,AZ,26.68
8000,6 years,MI,18.21
20000,10+ years,MO,30.85
14000,5 years,WI,22.39
20000,4 years,NC,24.7
10000,3 years,VA,13
10000,< 1 year,CA,14.54
7000,10+ years,NY,13.4
35000,4 years,TX,14.04
15000,10+ years,MD,13.27
7200,7 years,AR,17.16
23000,10+ years,CA,6.29
24000,10+ years,VA,27.25
16100,10+ years,VA,24.83
16000,10+ years,NY,16.64
40000,10+ years,NY,4.79
25000,8 years,PA,21.73
35000,2 years,NY,15.81
15100,10+ years,CA,13.77
10150,5 years,IL,29.89
5600,3 years,OK,5.07
20000,5 years,MN,16.21
8775,5 years,SC,8.29
12000,5 years,NY,18.66
12000,2 years,MD,22.53
5000,10+ years,TX,32.42
10000,8 years,MN,17.42
36000,7 years,MO,22.98
15000,10+ years,MD,31.5
22725,1 year,GA,14.83
18000,10+ years,CA,20.8
9800,< 1 year,NY,24.05
10000,10+ years,FL,19.4
5925,10+ years,FL,18.99
10800,10+ years,CO,16.92
13275,10+ years,CA,14.02
7200,2 years,WA,11.24
25000,10+ years,CA,9.71
5525,9 years,AZ,18.82
15000,10+ years,KY,23.35
5000,< 1 year,TX,4.75
14750,4 years,TX,20.67
15000,8 years,MA,5.63
5000,2 years,NJ,5.5
7900,2 years,CA,3.68
20000,2 years,OR,2.84
16950,10+ years,MN,29.41
19000,2 years,TX,19.24
6000,10+ years,MD,28.53
14300,9 years,TX,34.27
31350,1 year,TX,19.94
12000,6 years,FL,20.63
4100,10+ years,CA,13.8
19850,10+ years,MS,28.44
3600,n/a,NC,16.59
15000,< 1 year,OH,19.57
25000,2 years,NC,11.44
12000,< 1 year,VA,13.92
10000,10+ years,CA,15.56
18000,10+ years,NY,18.17
8400,< 1 year,FL,31.45
10000,n/a,NJ,22.58
18000,10+ years,MT,12.29
2000,1 year,MN,10.89
10000,3 years,CO,11.54
27600,2 years,MI,17.14
9600,1 year,NJ,32.46
3000,6 years,PA,21.26
4000,10+ years,TX,30.34
15000,7 years,TX,22.23
16000,1 year,CA,18.08
10000,10+ years,CA,26.88
40000,5 years,VA,20.93
4000,10+ years,AZ,23.35
8000,10+ years,NY,20.52
8000,7 years,FL,18.02
15000,< 1 year,MA,11.86
17000,3 years,HI,14.36
20000,2 years,CA,19.92
12000,10+ years,AZ,17.55
12000,1 year,FL,28.01
12000,3 years,NY,34
8650,n/a,NC,16.71
20150,10+ years,MA,19.72
14000,10+ years,MI,18.11
12000,10+ years,FL,14.67
8400,10+ years,AR,26.34
24950,1 year,TX,17.06
7000,4 years,CA,33.52
21400,2 years,NV,28.46
10000,4 years,FL,8.48
8000,3 years,NJ,19.76
30000,4 years,MO,15.05
2200,< 1 year,CA,6.51
13100,10+ years,OH,24.89
9200,7 years,MN,15.46
5000,1 year,FL,15.52
6000,6 years,FL,6.78
7200,n/a,MA,14.36
8000,3 years,AR,25.88
8400,2 years,GA,4.41
20000,10+ years,WA,31.38
14000,1 year,MI,20.14
5000,10+ years,MO,31.02
11900,< 1 year,NY,7.2
6100,4 years,GA,28.99
20400,3 years,CA,14.42
23000,< 1 year,IL,14.12
10000,10+ years,NY,15.04
15600,2 years,IL,37.59
10500,4 years,FL,11.83
20000,10+ years,CO,9.12
35000,7 years,CA,18.56
30000,< 1 year,TX,15.74
10600,10+ years,FL,23.46
10000,2 years,PA,31.11
22400,5 years,CA,30.72
13200,10+ years,CO,9.49
40000,< 1 year,MA,33.43
6450,2 years,NY,15.78
15000,10+ years,NJ,20.75
40000,10+ years,VA,10.49
15000,3 years,GA,14.01
3000,< 1 year,TX,10.28
11000,10+ years,FL,51.04
8125,10+ years,MA,20.73
16000,10+ years,VA,26.23
10000,3 years,FL,22.71
28000,7 years,MD,19.02
1200,4 years,MD,22.16
7500,10+ years,PA,24.13
9600,< 1 year,FL,4.19
10500,4 years,TX,23.98
3300,3 years,UT,1.55
12700,10+ years,CA,11.11
30000,3 years,FL,43.07
1200,10+ years,AL,27.12
40000,2 years,IL,18.97
20000,n/a,IL,221.37
31000,10+ years,IN,39.98
12000,< 1 year,CA,9.15
10000,2 years,MO,10.63
5600,10+ years,TX,29.6
10000,10+ years,CA,18.74
16800,9 years,CA,10.92
16000,< 1 year,NV,7.35
3000,< 1 year,MD,4.46
9000,6 years,OH,5.75
12000,6 years,FL,26.93
8000,< 1 year,FL,5.47
5500,10+ years,AL,23.49
15000,n/a,NY,23.61
11000,10+ years,FL,11.63
28000,n/a,GA,27.27
12000,6 years,CO,10.32
11200,1 year,CA,18.88
30000,3 years,IL,17.56
35000,2 years,NY,11.14
9600,8 years,FL,10.07
9600,3 years,LA,26.96
10000,4 years,WY,11.12
40000,10+ years,AZ,7.89
3000,n/a,MI,9.78
6000,2 years,MO,21.48
18000,5 years,TX,27.32
6000,7 years,AZ,4.13
27600,10+ years,NY,13.53
9450,10+ years,FL,18.79
20000,10+ years,WA,23.58
3000,10+ years,CA,27.98
10475,10+ years,NJ,18.86
24000,8 years,GA,18.31
4000,6 years,NY,23.61
20250,5 years,MA,20.41
2000,10+ years,CA,7.84
30000,< 1 year,NJ,8.37
19200,10+ years,NV,6.59
35000,10+ years,MI,14.14
8000,10+ years,NC,31.99
8000,4 years,NC,26.64
3000,6 years,PA,1.91
20000,< 1 year,KS,45.92
4800,10+ years,CA,21.11
10000,5 years,CA,21.28
20000,7 years,FL,27.6
30000,10+ years,NY,17.16
12000,10+ years,TX,31.71
20000,9 years,CA,13.17
16000,10+ years,AZ,28.12
14400,5 years,WI,14.97
28000,< 1 year,OH,13.87
13950,8 years,HI,18.93
12500,n/a,TX,17.37
9600,< 1 year,IL,19.46
7000,1 year,GA,8.81
12800,10+ years,NY,28.34
35000,10+ years,FL,11.31
6400,2 years,PA,34.1
20000,10+ years,TX,12.6
1500,9 years,VA,34.03
29900,< 1 year,FL,4.27
25000,10+ years,LA,5.72
35000,1 year,CA,8.8
8000,< 1 year,TN,15.52
6400,10+ years,CA,25.83
8000,1 year,MI,7.29
23525,2 years,MA,17.92
4000,10+ years,CA,23.63
8000,6 years,TX,20.42
2400,10+ years,CT,17.89
12500,10+ years,MO,22.06
12000,< 1 year,MA,21.37
20000,10+ years,NY,10.95
5000,10+ years,ID,2.65
35000,< 1 year,CA,14.84
28000,9 years,MI,34.32
25000,< 1 year,NC,17.14
30000,2 years,CA,21.84
30000,2 years,KS,20.16
14000,8 years,LA,14.64
2975,3 years,CA,19.68
6950,n/a,OH,34.75
8500,10+ years,CA,16.61
30000,2 years,IN,29.24
5000,10+ years,MN,19.54
7000,10+ years,FL,21.34
20000,4 years,CO,17.62
35000,< 1 year,FL,33.92
11200,1 year,MA,18.64
8000,10+ years,NY,20.59
10000,< 1 year,TX,23.03
9600,5 years,NY,5.09
3200,10+ years,WA,29.63
8000,10+ years,MI,10.28
15000,5 years,CA,33.99
10000,10+ years,CA,0.81
20000,6 years,SC,10.27
24000,10+ years,NH,13.8
7000,3 years,CA,7.96
6000,8 years,WA,18.63
4000,n/a,VA,14.22
9600,9 years,CA,13.28
11000,3 years,AZ,17.13
28000,10+ years,OH,22.7
1400,10+ years,SC,22.66
3500,5 years,MD,4.43
15000,10+ years,MS,11.15
6000,10+ years,CA,27.6
16000,4 years,GA,24.73
4800,10+ years,FL,16.75
4575,5 years,NJ,17.93
4000,10+ years,NY,17.82
17500,10+ years,GA,21.88
9925,3 years,NY,27.99
25600,n/a,NY,19.62
3200,10+ years,CA,14.01
35000,10+ years,FL,24.15
18000,3 years,MN,19.82
10125,< 1 year,TX,31.15
35000,10+ years,NC,15.88
36000,6 years,FL,8.82
8400,10+ years,GA,33.1
20000,4 years,MI,7.34
7200,4 years,TX,14.56
9425,1 year,MA,6.25
25200,8 years,HI,28.38
30000,< 1 year,KY,18.89
20000,2 years,NJ,17.87
14000,3 years,WA,10.83
4000,n/a,AL,24.43
15000,10+ years,FL,23.84
1200,n/a,NC,22.08
4500,4 years,FL,9.63
9475,10+ years,CA,20.8
35000,10+ years,TX,16.86
15000,3 years,OK,8.03
20000,10+ years,OH,17.46
20400,10+ years,OH,30.85
16000,5 years,PA,16.13
4825,1 year,FL,32.89
16000,2 years,IL,19.63
31550,< 1 year,NJ,12.42
15000,10+ years,AZ,20
13000,n/a,FL,12.69
3600,2 years,OH,7.52
25000,10+ years,CA,10.13
20000,9 years,NH,29.68
18000,10+ years,SC,10.54
4500,1 year,VA,20.93
9600,5 years,AZ,28.54
10500,10+ years,TX,27.34
16000,3 years,AZ,19.85
4500,2 years,MN,19.47
6825,4 years,FL,28.93
9000,10+ years,PA,17.48
20000,< 1 year,AK,25.58
23000,10+ years,NY,32.33
9000,8 years,NY,13.83
14000,4 years,CA,8.09
30000,n/a,CA,18.16
8000,6 years,OR,10.4
26400,10+ years,CO,17.08
15000,2 years,NV,17.29
8000,3 years,WA,16.59
5400,6 years,SC,23.22
4800,2 years,CA,11.92
4000,6 years,MI,15.01
15250,10+ years,MS,33.95
10400,10+ years,FL,9.28
4000,2 years,CO,8.21
2000,n/a,CT,12.77
6400,3 years,FL,34.24
25000,6 years,NJ,30.48
13000,9 years,AZ,12.18
